DATE,FLOW,STAGE,TEMP,VDATE
2007-09-30,0,,,44687.8689
2007-10-01,0,,,44686.8689
2007-10-02,0,,,44685.8689
2007-10-03,0,,,44684.8689
2007-10-04,0,,,44683.8689
2007-10-05,0,,,44682.8689
2007-10-06,0,,,44681.8689
2007-10-07,0,,,44680.8689
2007-10-08,0,,,44679.8689
2007-10-09,0,,,44678.8689
2007-10-10,0,,,44677.8689
2007-10-11,0,,,44676.8689
2007-10-12,0,,,44675.8689
2007-10-13,0,,,44674.8689
2007-10-14,0,,,44673.8689
2007-10-15,0,,,44672.8689
2007-10-16,0,,,44671.8689
2007-10-17,0,,,44670.8689
2007-10-18,0,,,44669.8689
2007-10-19,0,,,44668.8689
2007-10-20,0,,,44667.8689
2007-10-21,0,,,44666.8689
2007-10-22,0,,,44665.8689
2007-10-23,0,,,44664.8689
2007-10-24,0,,,44663.8689
2007-10-25,0,,,44662.8689
2007-10-26,0,,,44661.8689
2007-10-27,0,,,44660.8689
2007-10-28,0,,,44659.8689
2007-10-29,0,,,44658.8689
2007-10-30,0,,,44657.8689
2007-10-31,0,,,44656.8689
2007-11-01,0,,,44655.8689
2007-11-02,0,,,44654.8689
2007-11-03,0,,,44653.8689
2007-11-04,0,,,44652.8689
2007-11-05,0,,,44651.8689
2007-11-06,0,,,44650.8689
2007-11-07,0,,,44649.8689
2007-11-08,0,,,44648.8689
2007-11-09,0,,,44647.8689
2007-11-10,0,,,44646.8689
2007-11-11,0,,,44645.8689
2007-11-12,0,,,44644.8689
2007-11-13,0,,,44643.8689
2007-11-14,0,,,44642.8689
2007-11-15,0,,,44641.8689
2007-11-16,0,,,44640.8689
2007-11-17,0,,,44639.8689
2007-11-18,0,,,44638.8689
2007-11-19,0,,,44637.8689
2007-11-20,0,,,44636.8689
2007-11-21,0,,,44635.8689
2007-11-22,0,,,44634.8689
2007-11-23,0,,,44633.8689
2007-11-24,0,,,44632.8689
2007-11-25,0,,,44631.8689
2007-11-26,0,,,44630.8689
2007-11-27,0,,,44629.8689
2007-11-28,0,,,44628.8689
2007-11-29,0,,,44627.8689
2007-11-30,0,,,44626.8689
2007-12-01,0,,,44625.8689
2007-12-02,0,,,44624.8689
2007-12-03,0,,,44623.8689
2007-12-04,0,,,44622.8689
2007-12-05,0,,,44621.8689
2007-12-06,0,,,44620.8689
2007-12-07,0,,,44619.8689
2007-12-08,0,,,44618.8689
2007-12-09,0,,,44617.8689
2007-12-10,0,,,44616.8689
2007-12-11,0,,,44615.8689
2007-12-12,0,,,44614.8689
2007-12-13,0,,,44613.8689
2007-12-14,0,,,44612.8689
2007-12-15,0,,,44611.8689
2007-12-16,0,,,44610.8689
2007-12-17,0,,,44609.8689
2007-12-18,0,,,44608.8689
2007-12-19,0,,,44607.8689
2007-12-20,0,,,44606.8689
2007-12-21,0,,,44605.8689
2007-12-22,0,,,44604.8689
2007-12-23,0,,,44603.8689
2007-12-24,0,,,44602.8689
